# Aspell Character Data File.  Do Not Edit!
# <char> <uni> <type> <upper> <lower> <title> <plain>
00 0000 - 00 00 00 00
01 0001 - 01 01 01 01
02 1EB2 V 02 C6 02 41
03 0003 - 03 03 03 03
04 0004 - 04 04 04 04
05 1EB4 V 05 C7 05 41
06 1EAA V 06 E7 06 41
07 0007 - 07 07 07 07
08 0008 - 08 08 08 08
09 0009 W 09 09 09 09
0A 000A W 0A 0A 0A 0A
0B 000B W 0B 0B 0B 0B
0C 000C W 0C 0C 0C 0C
0D 000D W 0D 0D 0D 0D
0E 000E - 0E 0E 0E 0E
0F 000F - 0F 0F 0F 0F
10 0010 - 10 10 10 10
11 0011 - 11 11 11 11
12 0012 - 12 12 12 12
13 0013 - 13 13 13 13
14 1EF6 V 14 D6 14 59
15 0015 - 15 15 15 15
16 0016 - 16 16 16 16
17 0017 - 17 17 17 17
18 0018 - 18 18 18 18
19 1EF8 V 19 DB 19 59
1A 001A - 1A 1A 1A 1A
1B 001B - 1B 1B 1B 1B
1C 001C - 1C 1C 1C 1C
1D 001D - 1D 1D 1D 1D
1E 1EF4 V 1E DC 1E 59
1F 001F - 1F 1F 1F 1F
20 0020 W 20 20 20 20
21 0021 - 21 21 21 21
22 0022 - 22 22 22 22
23 0023 - 23 23 23 23
24 0024 - 24 24 24 24
25 0025 - 25 25 25 25
26 0026 - 26 26 26 26
27 0027 - 27 27 27 27
28 0028 - 28 28 28 28
29 0029 - 29 29 29 29
2A 002A - 2A 2A 2A 2A
2B 002B - 2B 2B 2B 2B
2C 002C - 2C 2C 2C 2C
2D 002D H 2D 2D 2D 2D
2E 002E - 2E 2E 2E 2E
2F 002F - 2F 2F 2F 2F
30 0030 D 30 30 30 30
31 0031 D 31 31 31 31
32 0032 D 32 32 32 32
33 0033 D 33 33 33 33
34 0034 D 34 34 34 34
35 0035 D 35 35 35 35
36 0036 D 36 36 36 36
37 0037 D 37 37 37 37
38 0038 D 38 38 38 38
39 0039 D 39 39 39 39
3A 003A - 3A 3A 3A 3A
3B 003B - 3B 3B 3B 3B
3C 003C - 3C 3C 3C 3C
3D 003D - 3D 3D 3D 3D
3E 003E - 3E 3E 3E 3E
3F 003F - 3F 3F 3F 3F
40 0040 - 40 40 40 40
41 0041 V 41 61 41 41
42 0042 L 42 62 42 42
43 0043 L 43 63 43 43
44 0044 L 44 64 44 44
45 0045 V 45 65 45 45
46 0046 L 46 66 46 46
47 0047 L 47 67 47 47
